timestamp,visitorid,itemid,event,price
1433202096802,319880,7943,transaction,17880.0
1433185467024,1161163,119736,transaction,4080.0
1433215970293,1166817,7943,transaction,17880.0
1433287366325,1003058,312728,transaction,15480.0
1433263755948,634120,7943,transaction,17880.0
1433392161836,1259098,461686,transaction,24960.0
1433391882550,974794,420960,transaction,43800.0
1433377677494,438441,119736,transaction,4080.0
1433345966787,451106,17478,transaction,12960.0
1433382787152,438441,119736,transaction,4080.0
1433462594026,633063,312728,transaction,15480.0
1433455473821,1093035,119736,transaction,4080.0
1433481643037,823143,7943,transaction,17880.0
1433440035627,1213114,461686,transaction,24960.0
1433470221928,888739,312728,transaction,15480.0
1433442123716,503857,420960,transaction,43800.0
1433438926327,438441,119736,transaction,4080.0
1433524744428,138131,420960,transaction,43800.0
1433518030494,1161163,119736,transaction,4080.0
1433522055496,138131,119736,transaction,4080.0
1433524598559,118487,420960,transaction,43800.0
1433549771403,1161163,119736,transaction,4080.0
1433639886707,435104,48030,transaction,49800.0
1433702475644,879685,17478,transaction,12960.0
1433703973431,892355,119736,transaction,4080.0
1433799620641,1093035,119736,transaction,4080.0
1433791535835,301846,420960,transaction,39240.0
1433782656103,274152,17478,transaction,12960.0
1433805641889,841939,420960,transaction,39240.0
1433875006348,568495,461686,transaction,19320.0
1433900129086,969519,420960,transaction,39240.0
1433904082646,138131,119736,transaction,4080.0
1433961281378,76757,119736,transaction,4080.0
1433975236305,138131,119736,transaction,4080.0
1433976686894,1161163,461686,transaction,19320.0
1433970108082,76757,119736,transaction,4080.0
1433954103896,277968,312728,transaction,15480.0
1433972731888,767419,7943,transaction,17880.0
1434214963127,871971,461686,transaction,19320.0
1434240517461,807851,461686,transaction,19320.0
1434049852408,198153,312728,transaction,15480.0
1434012162204,410841,461686,transaction,19320.0
1434058850477,76757,420960,transaction,39240.0
1434094768609,880465,461686,transaction,19320.0
1434153346372,684072,461686,transaction,19320.0
1434142815707,264716,461686,transaction,19320.0
1434390118581,1065255,7943,transaction,17880.0
1434388762738,72302,48030,transaction,18720.0
1434408572909,628857,461686,transaction,19320.0
1434391982335,892355,420960,transaction,39840.0
1434388463360,892355,119736,transaction,4080.0
1434408032626,1161163,119736,transaction,4080.0
1434413825743,791783,420960,transaction,39840.0
1434412845504,556822,48030,transaction,18720.0
1434311468953,1143383,48030,transaction,18720.0
1434488636246,1140795,17478,transaction,12600.0
1434575708226,957312,461686,transaction,19320.0
1434595914518,307943,48030,transaction,18720.0
1434566523755,1075090,312728,transaction,15480.0
1434599291232,401855,420960,transaction,39840.0
1434580351968,1145243,17478,transaction,12600.0
1434558058514,1375192,17478,transaction,12600.0
1434589200792,1385901,312728,transaction,15480.0
1434658925434,225865,7943,transaction,17880.0
1434658651227,673841,17478,transaction,12600.0
1434643555630,1161163,119736,transaction,4080.0
1434695268146,769006,461686,transaction,19320.0
